region_code,latitude,longitude,hospital_count,hospital_beds,access_distance_km,access_duration_min,access_method,route_exact_share_pct
48870,35.551582318915656,127.7220250128936,1,133,12.81,19.87,kakao_car,70.6
48880,35.73253443969709,127.90416387458772,6,761,7.26,12.2,kakao_car,76.5
48890,35.57662049663723,128.14155173560775,4,703,17.46,26.26,kakao_car,58.6
50110,33.44289803706732,126.52928342892926,22,4176,5.95,14.74,kakao_car,83.5
50130,33.3244309085907,126.58095064242042,4,538,15.45,32.87,kakao_car,62.4
51110,37.88976847690266,127.73984951288428,19,3438,3.15,8.29,kakao_car,90.6
51130,37.308239378117605,127.9295369930146,27,4270,3.5,8.12,kakao_car,100.0
51150,37.70922500948112,128.83272561112423,9,2063,4.87,11.58,kakao_car,93.0
51170,37.50686644075053,129.05585074993203,6,1160,5.53,8.85,kakao_car,100.0
51190,37.17238507763795,128.98004492906216,3,362,6.18,10.97,kakao_car,91.2
51210,38.17612967813244,128.519757748055,4,731,5.58,9.6,kakao_car,96.3
51230,37.27742704917774,129.12237385904086,3,330,9.09,16.15,kakao_car,65.7
51720,37.74503886297236,128.0742825205444,4,416,10.61,16.3,kakao_car,83.7
51730,37.508926072906114,128.07705592026497,2,174,12.49,20.26,kakao_car,48.1
51750,37.204008481303525,128.50057381830425,3,314,11.78,21.16,kakao_car,60.1
51760,37.55680015222036,128.4825237746793,3,144,17.77,28.67,kakao_car,42.4
51770,37.37876130349841,128.7390891478114,2,179,19.59,41.23,kakao_car,53.4
51780,38.24391564889458,127.41355439410532,2,221,10.37,18.91,kakao_car,45.9
51790,38.13843614185304,127.68513306286054,1,16,24.58,41.63,kakao_car,12.4
51800,38.17811726412819,128.00129101853824,3,160,9.05,15.71,kakao_car,16.2
51810,38.06887275985082,128.26335907648254,2,116,20.42,20.96,kakao_car,21.8
51820,38.37734375958094,128.40008473567707,0,0,29.23,90.27,kakao_car,0.0
51830,38.00464374581758,128.59548774538544,0,0,23.6,51.55,kakao_car,16.7
52110,35.82814856769128,127.11571167294312,63,12800,1.89,4.44,kakao_car,100.0
52130,35.94912660552678,126.71667638427252,17,3661,3.75,8.79,kakao_car,88.7
52140,36.02307929174109,126.98950124780828,16,3837,3.07,6.38,kakao_car,100.0
52180,35.60259560748134,126.90587658007664,10,2068,6.84,12.37,kakao_car,86.0
52190,35.4225034727432,127.44180322962484,7,1326,6.58,12.04,kakao_car,86.7
52210,35.80674830210267,126.89468631046168,11,3040,6.36,10.78,kakao_car,95.8
52710,35.918592732446434,127.21513143725942,8,1534,4.98,10.48,kakao_car,97.3
52720,35.82885982367576,127.4299854831646,2,218,13.83,20.32,kakao_car,50.9
52730,35.93939003569475,127.71293644789004,2,113,15.69,33.92,kakao_car,50.9
52740,35.65741899419392,127.54424123553328,1,30,14.41,20.15,kakao_car,53.4
52750,35.5981911705958,127.23670420134204,3,257,9.56,14.66,kakao_car,79.7
52770,35.433643538143684,127.09012209954466,4,595,6.98,11.32,kakao_car,85.5
52790,35.44899558264562,126.6157539757535,7,1089,7.65,13.19,kakao_car,86.7
52800,35.68507848625867,126.64012799589972,6,781,9.98,18.0,kakao_car,84.6
